epoch,w1_py,w2_py,b_py,w1_crn,w2_crn,b_crn
31,1.3196922140,-0.2729573877,-0.1000000000,1.3196922229,-0.2729573909,-0.0999998074
32,1.1928972376,-0.2467318593,-0.1000000000,1.1928972457,-0.2467318623,-0.0999998074
33,1.3177026437,-0.2666500424,-0.2000000000,1.3177026483,-0.2666500443,-0.1999998095
34,1.2632440710,-0.2803330065,-0.1000000000,1.2632440760,-0.2803330077,-0.0999998096
35,1.2961252425,-0.2862317415,-0.1000000000,1.2961252481,-0.2862317423,-0.0999998096
36,1.2437398093,-0.2980333116,0.0000000000,1.2437398153,-0.2980333117,0.0000001904
37,1.3001449825,-0.2094078489,-0.2000000000,1.3001449883,-0.2094078519,-0.1999998095
38,1.2387434076,-0.2929027527,-0.1000000000,1.2387434094,-0.2929027515,-0.0999998121
39,1.3677738785,-0.2440727178,-0.2000000000,1.3677738815,-0.2440727191,-0.1999998121
40,1.3085045014,-0.2599248933,-0.1000000000,1.3085045052,-0.2599248938,-0.0999998121
41,1.2549296789,-0.2742540044,0.0000000000,1.2549296833,-0.2742540042,0.0000001879
42,1.3102597384,-0.1879132386,-0.2000000000,1.3102597428,-0.1879132417,-0.1999998121
43,1.2478863458,-0.2734733275,-0.1000000000,1.2478863459,-0.2734733259,-0.0999998150
44,1.3760383704,-0.2265100562,-0.2000000000,1.3760383721,-0.2265100575,-0.1999998150
45,1.3159749476,-0.2440496383,-0.1000000000,1.3159749502,-0.2440496386,-0.0999998150
46,1.2616823705,-0.2599040313,0.0000000000,1.2616823741,-0.2599040308,0.0000001850
47,1.3163636368,-0.1749419994,-0.2000000000,1.3163636404,-0.1749420027,-0.1999998150
48,1.2534037865,-0.2617483546,-0.1000000000,1.2534037855,-0.2617483526,-0.0999998182
49,1.2872304047,-0.2694326881,-0.1000000000,1.2872304053,-0.2694326860,-0.0999998182
50,1.2356995804,-0.2828482979,0.0000000000,1.2356995823,-0.2828482951,0.0000001818
51,1.2928772524,-0.1956817992,-0.2000000000,1.2928772546,-0.1956818007,-0.1999998182
52,1.2321739552,-0.2804954909,-0.1000000000,1.2321739525,-0.2804954869,-0.0999998217
53,1.3618356138,-0.2328575358,-0.2000000000,1.3618356132,-0.2328575355,-0.1999998217
54,1.2945068522,-0.3140994124,-0.1000000000,1.2945068468,-0.3140994066,-0.0999998254
55,1.1701316653,-0.2839209911,-0.1000000000,1.1701316604,-0.2839209858,-0.0999998254
56,1.3057542977,-0.2359539167,-0.2000000000,1.3057542953,-0.2359539154,-0.1999998254
57,1.2438137842,-0.3168982955,-0.1000000000,1.2438137769,-0.3168982884,-0.0999998292
58,1.3723570974,-0.2657627879,-0.2000000000,1.3723570928,-0.2657627851,-0.1999998292
59,1.3126473683,-0.2795309988,-0.1000000000,1.3126473657,-0.2795309952,-0.0999998292
60,1.1865292551,-0.2526738832,-0.1000000000,1.1865292527,-0.2526738799,-0.0999998292
61,1.3205764201,-0.2077090059,-0.2000000000,1.3205764201,-0.2077090068,-0.1999998292
62,1.2572118090,-0.2913671333,-0.1000000000,1.2572118034,-0.2913671276,-0.0999998334
63,1.3844678505,-0.2426846394,-0.2000000000,1.3844678477,-0.2426846382,-0.1999998334
64,1.3235945300,-0.2586701804,-0.1000000000,1.3235945290,-0.2586701782,-0.0999998334
65,1.1964246222,-0.2338173556,-0.1000000000,1.1964246213,-0.2338173536,-0.0999998334
